File Path,PID,Runtime,# DAGs,# Errors,Last Runtime,Last Run
/opt/airflow/dags/get_logs_inventary.py,2565,0.01s,0,1,0.07s,2023-11-25T18:22:44
/opt/airflow/dags/get_logs_inventary.py,2592,0.01s,0,1,0.08s,2023-11-25T18:23:14
/opt/airflow/dags/get_logs_inventary.py,2619,0.01s,0,1,0.06s,2023-11-25T18:23:45
/opt/airflow/dags/get_logs_inventary.py,2655,0.01s,0,1,0.10s,2023-11-25T18:24:15
/opt/airflow/dags/get_logs_inventary.py,2685,0.01s,0,1,0.08s,2023-11-25T18:24:45
/opt/airflow/dags/get_logs_inventary.py,2712,0.01s,0,1,0.06s,2023-11-25T18:25:15
/opt/airflow/dags/get_logs_inventary.py,2740,0.01s,0,1,0.05s,2023-11-25T18:25:45
/opt/airflow/dags/get_logs_inventary.py,2778,0.01s,0,1,0.06s,2023-11-25T18:26:16
/opt/airflow/dags/__pycache__/get_dags_inventary.py,2777,0.01s,0,1,0.81s,2023-11-25T18:26:15
/opt/airflow/dags/get_logs_inventary.py,2804,0.01s,0,1,0.07s,2023-11-25T18:26:46
/opt/airflow/dags/get_logs_inventary.py,2831,0.00s,0,1,0.06s,2023-11-25T18:27:16
/opt/airflow/dags/get_logs_inventary.py,2859,0.00s,0,1,0.06s,2023-11-25T18:27:46
/opt/airflow/dags/get_logs_inventary.py,2892,0.01s,0,1,0.05s,2023-11-25T18:28:16
/opt/airflow/dags/get_logs_inventary.py,2925,0.02s,0,1,0.11s,2023-11-25T18:28:47
/opt/airflow/dags/get_logs_inventary.py,2952,0.00s,0,1,0.14s,2023-11-25T18:29:17
/opt/airflow/dags/get_logs_inventary.py,2980,0.00s,0,1,0.06s,2023-11-25T18:29:47
/opt/airflow/dags/get_logs_inventary.py,3007,0.01s,0,1,0.05s,2023-11-25T18:30:17
/opt/airflow/dags/get_logs_inventary.py,3034,0.01s,0,1,0.05s,2023-11-25T18:30:48
/opt/airflow/dags/get_logs_inventary.py,3073,0.01s,0,1,0.05s,2023-11-25T18:31:18
/opt/airflow/dags/get_logs_inventary.py,3100,0.01s,0,1,0.07s,2023-11-25T18:31:48
/opt/airflow/dags/get_logs_inventary.py,3127,0.00s,0,1,0.07s,2023-11-25T18:32:18
/opt/airflow/dags/get_logs_inventary.py,3154,0.00s,0,1,0.05s,2023-11-25T18:32:48
/opt/airflow/dags/get_logs_inventary.py,3190,0.01s,0,1,0.05s,2023-11-25T18:33:19
/opt/airflow/dags/get_logs_inventary.py,3220,0.01s,0,1,0.09s,2023-11-25T18:33:49
/opt/airflow/dags/get_logs_inventary.py,3247,0.01s,0,1,0.06s,2023-11-25T18:34:19
/opt/airflow/dags/get_logs_inventary.py,3275,0.01s,0,1,0.06s,2023-11-25T18:34:49
/opt/airflow/dags/get_logs_inventary.py,3302,0.01s,0,1,0.06s,2023-11-25T18:35:19
/opt/airflow/dags/get_logs_inventary.py,3329,0.01s,0,1,0.07s,2023-11-25T18:35:50
/opt/airflow/dags/get_logs_inventary.py,3365,0.03s,0,1,0.09s,2023-11-25T18:36:20
/opt/airflow/dags/get_logs_inventary.py,3396,0.01s,0,1,0.13s,2023-11-25T18:36:50
/opt/airflow/dags/get_logs_inventary.py,3422,0.01s,0,1,0.14s,2023-11-25T18:37:20
/opt/airflow/dags/get_logs_inventary.py,3448,0.01s,0,1,0.06s,2023-11-25T18:37:50
/opt/airflow/dags/get_logs_inventary.py,3475,0.01s,0,1,0.08s,2023-11-25T18:38:21
